Id,Contenuto,Immagine
1,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Alexander_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Alexander_(cocktail)&prop=pageimages&format=json&pithumbsize=500
2,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Americano_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Americano_(cocktail)&prop=pageimages&format=json&pithumbsize=501
3,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Angel_Face_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Angel_Face_(cocktail)&prop=pageimages&format=json&pithumbsize=502
4,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Aviation_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Aviation_(cocktail)&prop=pageimages&format=json&pithumbsize=503
5,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Bacardi_cocktail,https://it.wikipedia.org/w/api.php?action=query&titles=Bacardi_cocktail&prop=pageimages&format=json&pithumbsize=504
6,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Between_the_Sheets,https://it.wikipedia.org/w/api.php?action=query&titles=Between_the_Sheets&prop=pageimages&format=json&pithumbsize=505
7,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Casino_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Casino_(cocktail)&prop=pageimages&format=json&pithumbsize=506
8,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Clover_Club,https://it.wikipedia.org/w/api.php?action=query&titles=Clover_Club&prop=pageimages&format=json&pithumbsize=507
9,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Daiquiri,https://it.wikipedia.org/w/api.php?action=query&titles=Daiquiri&prop=pageimages&format=json&pithumbsize=508
10,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Derby_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Derby_(cocktail)&prop=pageimages&format=json&pithumbsize=509
11,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Martini_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Martini_(cocktail)&prop=pageimages&format=json&pithumbsize=510
12,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Gin_Fizz,https://it.wikipedia.org/w/api.php?action=query&titles=Gin_Fizz&prop=pageimages&format=json&pithumbsize=511
13,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=John_Collins_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=John_Collins_(cocktail)&prop=pageimages&format=json&pithumbsize=512
14,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Manhattan_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Manhattan_(cocktail)&prop=pageimages&format=json&pithumbsize=513
15,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Mary_Pickford_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Mary_Pickford_(cocktail)&prop=pageimages&format=json&pithumbsize=514
16,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Monkey_Gland,https://it.wikipedia.org/w/api.php?action=query&titles=Monkey_Gland&prop=pageimages&format=json&pithumbsize=515
17,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Negroni,https://it.wikipedia.org/w/api.php?action=query&titles=Negroni&prop=pageimages&format=json&pithumbsize=516
18,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Old_Fashioned,https://it.wikipedia.org/w/api.php?action=query&titles=Old_Fashioned&prop=pageimages&format=json&pithumbsize=517
